date,open,high,close,low,volume,p_change,最近N1个交易日最高价,最近N2个交易日最低价,当天的仓位,net,capital_index,策略每日涨跌幅
2015-12-10,64.77,71.0,68.85,63.5,388939.75,5.57,72.0,50.4,1.0,1.7490886241562116,118.93802644262236,5.57
2015-12-11,67.25,67.99,64.7,64.7,235118.27,-6.03,72.0,50.4,1.0,1.643618580119592,111.76606344813223,-6.03
2015-12-14,62.99,66.0,64.97,61.5,196633.3,0.42,72.0,52.4,1.0,1.6505217781560941,112.23548091461437,0.42
2015-12-15,65.5,69.3,65.39,65.0,206189.02,0.65,72.0,52.6,1.0,1.6612501697141087,112.96501154055936,0.65
2015-12-16,64.5,67.82,67.0,63.5,265855.41,2.46,72.0,54.15,1.0,1.7021169238890757,115.74395082445712,2.46
2015-12-17,67.02,68.58,67.65,66.28,254879.08,0.97,72.0,59.97,1.0,1.7186274580507999,116.86666714745436,0.97
2015-12-18,66.98,67.59,64.66,64.0,218059.19,-4.42,72.0,61.5,1.0,1.6426641244049545,111.70116045953688,-4.42
2015-12-21,63.61,64.7,64.16,63.0,133344.64,-0.77,72.0,61.5,1.0,1.6300156106470363,110.84106152399845,-0.77
2015-12-22,64.99,69.0,66.45,64.99,245265.66,3.57,72.0,61.5,1.0,1.6882071679471355,114.7980874204052,3.57
2015-12-23,67.82,68.7,64.2,63.79,223902.34,-3.39,72.0,61.5,1.0,1.6309769449537275,110.90643225685345,-3.39
2015-12-24,64.0,65.5,65.06,61.86,160049.84,1.34,72.0,61.5,1.0,1.6528320360161075,112.39257844909528,1.34
2015-12-25,65.34,65.8,63.86,63.18,120051.34,-1.84,72.0,61.5,1.0,1.6224199265534112,110.32455500563194,-1.84
2015-12-28,64.2,64.99,61.5,61.5,158333.33,-3.7,72.0,61.5,1.0,1.562390389270935,106.24254647042356,-3.7
2015-12-29,61.05,61.9,58.9,58.0,194479.23,-4.23,72.0,58.0,1.0,1.4963012758047745,101.74848675472464,-4.23
2015-12-30,59.23,60.26,59.42,58.2,125809.54,0.88,72.0,58.0,0.0,1.4963012758047745,101.74848675472464,0.0
2015-12-31,59.44,59.44,55.9,55.1,174153.55,-5.92,72.0,55.1,0.0,1.4963012758047745,101.74848675472464,-0.0
2016-01-04,55.9,55.9,50.32,50.31,166158.81,-9.98,72.0,50.31,0.0,1.4963012758047745,101.74848675472464,-0.0
2016-01-05,45.3,51.5,48.33,45.3,239111.73,-3.96,72.0,45.3,0.0,1.4963012758047745,101.74848675472464,-0.0
2016-01-06,48.97,51.0,50.4,46.67,190158.38,4.28,71.0,45.3,0.0,1.4963012758047745,101.74848675472464,0.0
2016-01-07,48.5,49.1,45.36,45.36,45323.78,-10.0,71.0,45.3,0.0,1.4963012758047745,101.74848675472464,-0.0
2016-01-08,46.1,47.49,43.75,41.18,198312.67,-3.55,69.3,41.18,0.0,1.4963012758047745,101.74848675472464,-0.0
2016-01-11,41.85,43.54,39.49,39.4,197919.09,-9.74,69.3,39.4,0.0,1.4963012758047745,101.74848675472464,-0.0
2016-01-12,41.0,41.85,40.87,39.49,196815.34,3.5,69.3,39.4,0.0,1.4963012758047745,101.74848675472464,0.0
2016-01-13,40.66,41.58,38.99,38.5,152450.94,-4.6,69.0,38.5,0.0,1.4963012758047745,101.74848675472464,-0.0
2016-01-14,37.8,42.89,42.89,37.5,188981.61,10.0,69.0,37.5,0.0,1.4963012758047745,101.74848675472464,0.0
2016-01-15,43.8,45.55,43.8,42.6,318971.19,2.12,69.0,37.5,0.0,1.4963012758047745,101.74848675472464,0.0
2016-01-18,43.2,47.74,45.84,43.11,258871.48,4.66,69.0,37.5,0.0,1.4963012758047745,101.74848675472464,0.0
2016-01-19,45.04,47.6,46.89,43.82,260975.72,2.29,69.0,37.5,0.0,1.4963012758047745,101.74848675472464,0.0
2016-01-20,46.0,46.96,44.85,44.08,215707.39,-4.35,68.7,37.5,0.0,1.4963012758047745,101.74848675472464,-0.0
2016-01-21,44.21,48.27,44.05,44.0,232714.02,-1.78,65.8,37.5,0.0,1.4963012758047745,101.74848675472464,-0.0
2016-01-22,44.75,45.4,44.65,42.11,185244.3,1.36,65.8,37.5,0.0,1.4963012758047745,101.74848675472464,0.0
2016-01-25,45.01,45.95,44.65,43.8,130333.14,0.0,64.99,37.5,0.0,1.4963012758047745,101.74848675472464,0.0
2016-01-26,43.8,43.94,40.19,40.19,141713.14,-9.99,61.9,37.5,0.0,1.4963012758047745,101.74848675472464,-0.0
2016-01-27,40.0,41.3,40.82,36.66,173347.47,1.57,60.26,36.66,0.0,1.4963012758047745,101.74848675472464,0.0
2016-01-28,39.52,40.79,36.78,36.74,132704.34,-9.9,59.44,36.66,0.0,1.4963012758047745,101.74848675472464,-0.0
2016-01-29,36.77,39.9,38.99,36.7,150895.05,6.01,55.9,36.66,0.0,1.4963012758047745,101.74848675472464,0.0
2016-02-01,38.75,39.14,38.34,37.2,108122.23,-1.67,51.5,36.66,0.0,1.4963012758047745,101.74848675472464,-0.0
2016-02-02,38.66,40.94,40.45,38.6,138439.02,5.5,51.0,36.66,0.0,1.4963012758047745,101.74848675472464,0.0
2016-02-03,39.11,40.99,40.4,38.82,126763.81,-0.12,49.1,36.66,0.0,1.4963012758047745,101.74848675472464,-0.0
2016-02-04,40.39,41.98,40.78,40.39,134496.95,0.94,48.27,36.66,0.0,1.4963012758047745,101.74848675472464,0.0
2016-02-05,40.8,41.59,39.65,39.33,97577.19,-2.77,48.27,36.66,0.0,1.4963012758047745,101.74848675472464,-0.0
2016-02-15,38.0,41.58,41.0,37.5,126951.43,3.4,48.27,36.66,0.0,1.4963012758047745,101.74848675472464,0.0
2016-02-16,41.62,45.1,45.1,41.46,167124.73,10.0,48.27,36.66,0.0,1.4963012758047745,101.74848675472464,0.0
2016-02-17,45.44,46.3,45.2,43.86,197520.61,0.22,48.27,36.7,0.0,1.4963012758047745,101.74848675472464,0.0
2016-02-18,45.39,46.57,44.45,44.4,160733.88,-1.66,48.27,36.7,0.0,1.4963012758047745,101.74848675472464,-0.0
2016-02-19,44.0,45.55,44.77,43.65,146566.34,0.72,48.27,37.2,0.0,1.4963012758047745,101.74848675472464,0.0
2016-02-22,45.8,45.93,45.04,44.21,145959.73,0.6,48.27,37.5,0.0,1.4963012758047745,101.74848675472464,0.0
2016-02-23,44.9,46.0,44.65,43.36,147787.28,-0.87,48.27,37.5,0.0,1.4963012758047745,101.74848675472464,-0.0
2016-02-24,44.35,44.7,43.77,42.2,135054.41,-1.97,48.27,37.5,0.0,1.4963012758047745,101.74848675472464,-0.0
2016-02-25,43.06,43.6,39.39,39.39,141955.75,-10.01,46.57,37.5,0.0,1.4963012758047745,101.74848675472464,-0.0
2016-02-26,39.4,39.86,37.71,37.0,117287.35,-4.26,46.57,37.0,0.0,1.4963012758047745,101.74848675472464,-0.0
2016-02-29,37.65,37.65,33.94,33.94,95308.08,-10.0,46.57,33.94,0.0,1.4963012758047745,101.74848675472464,-0.0
2016-03-01,33.15,35.17,34.52,31.13,136451.16,1.71,46.57,31.13,0.0,1.4963012758047745,101.74848675472464,0.0
2016-03-02,34.17,36.33,36.03,33.7,139564.94,4.37,46.57,31.13,0.0,1.4963012758047745,101.74848675472464,0.0
2016-03-03,36.0,39.63,37.31,35.55,222678.81,3.55,46.57,31.13,0.0,1.4963012758047745,101.74848675472464,0.0
2016-03-04,36.35,36.74,33.8,33.8,168831.34,-9.41,46.57,31.13,0.0,1.4963012758047745,101.74848675472464,-0.0
2016-03-07,34.5,36.97,35.31,34.5,128915.72,4.47,46.57,31.13,0.0,1.4963012758047745,101.74848675472464,0.0
2016-03-08,34.4,36.85,36.43,32.6,163273.08,3.17,46.57,31.13,0.0,1.4963012758047745,101.74848675472464,0.0
2016-03-09,35.21,37.41,35.41,35.08,132325.42,-2.8,46.57,31.13,0.0,1.4963012758047745,101.74848675472464,-0.0
2016-03-10,35.65,36.35,34.3,34.01,110175.08,-3.13,46.57,31.13,0.0,1.4963012758047745,101.74848675472464,-0.0
2016-03-11,33.58,36.9,35.65,33.3,143005.95,3.94,46.57,31.13,0.0,1.4963012758047745,101.74848675472464,0.0
2016-03-14,37.25,38.6,37.64,36.92,181447.47,5.58,46.57,31.13,0.0,1.4963012758047745,101.74848675472464,0.0
2016-03-15,37.0,37.5,36.29,36.03,130642.42,-3.59,46.57,32.6,0.0,1.4963012758047745,101.74848675472464,-0.0
2016-03-16,37.0,37.59,35.27,34.51,145420.78,-2.81,46.57,32.6,0.0,1.4963012758047745,101.74848675472464,-0.0
2016-03-17,35.43,38.8,38.8,35.41,410156.12,10.01,46.0,32.6,0.0,1.4963012758047745,101.74848675472464,0.0
2016-03-18,38.87,42.68,42.68,38.7,500174.72,10.0,46.0,32.6,0.0,1.4963012758047745,101.74848675472464,0.0
2016-03-21,43.97,45.94,43.96,41.91,440021.44,3.0,46.0,32.6,0.0,1.4963012758047745,101.74848675472464,0.0
2016-03-22,42.53,43.92,42.65,42.11,255769.94,-2.98,45.94,33.3,0.0,1.4963012758047745,101.74848675472464,-0.0
2016-03-23,42.65,46.92,46.92,42.32,352282.97,10.01,46.92,33.3,0.0,1.4963012758047745,101.74848675472464,0.0
2016-03-24,46.18,49.98,45.75,45.08,404884.28,-2.49,49.98,33.3,1.0,1.4590433740372355,99.21494943453199,-2.49
2016-03-25,45.0,46.28,44.9,43.55,211059.98,-1.86,49.98,34.51,1.0,1.431905167280143,97.36955137504971,-1.86
2016-03-28,45.6,47.03,44.38,43.96,207777.67,-1.16,49.98,34.51,1.0,1.4152950673396933,96.24006457909913,-1.16
2016-03-29,44.01,47.0,45.85,43.22,274566.5,3.31,49.98,34.51,1.0,1.462141334068637,99.42561071666731,3.31
2016-03-30,46.3,48.98,48.08,45.66,295658.72,4.86,49.98,35.41,1.0,1.5332014029043728,104.25769539749733,4.86
2016-03-31,48.17,49.01,46.85,46.5,249212.06,-2.56,49.98,38.7,1.0,1.4939514469900208,101.58869839532139,-2.56
2016-04-01,46.07,46.46,45.21,44.5,175057.06,-3.5,49.98,41.91,1.0,1.44166314634537,98.03309395148514,-3.5
2016-04-05,45.21,48.8,47.9,45.15,200188.33,5.95,49.98,42.11,1.0,1.5274421035529195,103.86606304159851,5.95
2016-04-06,47.78,47.78,46.66,46.0,196054.52,-2.59,49.98,42.32,1.0,1.487881353070899,101.1759320088211,-2.59
2016-04-07,46.9,47.35,44.78,44.62,186315.25,-4.03,49.98,43.22,1.0,1.4279197345421417,97.09854194886562,-4.03
2016-04-08,43.99,45.58,45.31,43.51,158042.77,1.18,49.98,43.22,1.0,1.444769187409739,98.24430474386223,1.18
2016-04-11,45.65,46.7,45.29,45.11,153577.27,-0.04,49.98,43.22,1.0,1.4441912797347751,98.20500702196469,-0.04
2016-04-12,45.0,45.57,44.65,43.93,133619.62,-1.41,49.98,43.22,1.0,1.4238281826905148,96.82031642295499,-1.41
2016-04-13,44.8,46.5,45.32,44.8,191147.58,1.5,49.98,43.51,1.0,1.4451856054308725,98.27262116929931,1.5
2016-04-14,45.99,46.18,45.89,45.1,128609.39,1.26,49.98,43.51,1.0,1.4633949440593015,99.51085619603248,1.26
2016-04-15,46.2,46.49,45.26,45.0,118827.67,-1.37,49.98,43.51,1.0,1.443346433325689,98.14755746614682,-1.37
2016-04-22,40.73,43.2,41.92,40.73,170956.0,-7.38,49.98,40.73,1.0,1.3368274665462532,90.9042677251452,-7.38
2016-04-25,41.5,41.5,40.77,40.01,92739.96,-2.74,49.98,40.01,0.0,1.3368274665462532,90.9042677251452,-0.0
2016-04-26,40.76,41.8,41.35,40.13,81420.78,1.42,49.98,40.01,0.0,1.3368274665462532,90.9042677251452,0.0
2016-04-27,41.16,41.49,40.18,40.03,91328.45,-2.83,49.98,40.01,0.0,1.3368274665462532,90.9042677251452,-0.0
2016-04-28,40.3,41.49,40.83,39.6,121023.04,1.62,49.01,39.6,0.0,1.3368274665462532,90.9042677251452,0.0
2016-04-29,40.14,40.79,40.5,40.01,72161.95,-0.81,49.01,39.6,0.0,1.3368274665462532,90.9042677251452,-0.0
2016-05-03,40.45,42.55,42.05,40.28,100550.79,3.83,49.01,39.6,0.0,1.3368274665462532,90.9042677251452,0.0
2016-05-04,41.8,42.19,41.45,41.35,77549.12,-1.43,49.01,39.6,0.0,1.3368274665462532,90.9042677251452,-0.0
2016-05-05,41.45,42.01,41.76,41.31,60064.29,0.75,49.01,39.6,0.0,1.3368274665462532,90.9042677251452,0.0
2016-05-06,41.5,42.37,38.06,38.0,138918.77,-8.86,48.8,38.0,0.0,1.3368274665462532,90.9042677251452,-0.0
2016-05-09,37.6,37.6,37.02,35.51,113020.32,-2.73,48.8,35.51,0.0,1.3368274665462532,90.9042677251452,-0.0
2016-05-10,36.95,37.38,37.37,36.55,66970.8,0.94,47.78,35.51,0.0,1.3368274665462532,90.9042677251452,0.0
2016-05-11,37.68,37.99,36.51,36.5,60432.99,-2.3,47.35,35.51,0.0,1.3368274665462532,90.9042677251452,-0.0
2016-05-12,34.81,37.16,37.15,34.81,63907.79,1.75,46.7,34.81,0.0,1.3368274665462532,90.9042677251452,0.0
2016-05-13,29.25,29.25,28.04,27.82,84534.66,-1.79,46.7,27.82,0.0,1.3368274665462532,90.9042677251452,-0.0
2016-05-16,27.99,28.75,28.75,27.66,77682.57,2.53,46.5,27.66,0.0,1.3368274665462532,90.9042677251452,0.0
2016-05-17,28.7,30.98,29.8,28.03,161363.55,3.65,46.5,27.66,0.0,1.3368274665462532,90.9042677251452,0.0
2016-05-18,29.04,29.18,27.95,27.65,118160.42,-6.21,46.49,27.65,0.0,1.3368274665462532,90.9042677251452,-0.0
2016-05-19,28.01,29.2,28.15,28.01,115191.91,0.72,46.49,27.65,0.0,1.3368274665462532,90.9042677251452,0.0
2016-05-20,27.64,29.1,28.98,27.4,137076.95,2.95,43.2,27.4,0.0,1.3368274665462532,90.9042677251452,0.0
2016-05-23,29.02,29.62,29.26,28.86,116919.23,0.97,42.55,27.4,0.0,1.3368274665462532,90.9042677251452,0.0
2016-05-24,29.0,29.18,28.3,28.09,90570.86,-3.28,42.55,27.4,0.0,1.3368274665462532,90.9042677251452,-0.0
2016-05-25,28.8,29.47,28.45,28.37,125224.66,0.53,42.55,27.4,0.0,1.3368274665462532,90.9042677251452,0.0
2016-05-26,28.5,30.21,30.18,27.96,188672.55,6.08,42.55,27.4,0.0,1.3368274665462532,90.9042677251452,0.0
2016-05-27,29.83,30.38,29.57,29.42,147842.66,-2.02,42.55,27.4,0.0,1.3368274665462532,90.9042677251452,-0.0
2016-05-30,29.21,29.89,29.3,28.66,88068.67,-0.91,42.55,27.4,0.0,1.3368274665462532,90.9042677251452,-0.0
2016-05-31,29.6,32.23,32.23,29.35,373212.03,10.0,42.37,27.4,0.0,1.3368274665462532,90.9042677251452,0.0
2016-06-01,32.49,32.49,31.99,31.72,297247.75,-0.74,42.37,27.4,0.0,1.3368274665462532,90.9042677251452,-0.0
2016-06-02,31.66,32.48,32.19,31.66,209667.09,0.62,42.37,27.4,0.0,1.3368274665462532,90.9042677251452,0.0
2016-06-03,31.97,33.95,32.35,31.52,340644.91,0.5,37.99,27.96,0.0,1.3368274665462532,90.9042677251452,0.0
2016-06-06,32.41,32.59,31.98,31.71,182309.16,-1.14,37.99,27.96,0.0,1.3368274665462532,90.9042677251452,-0.0
2016-06-07,31.7,31.78,31.36,31.03,234837.94,-1.94,37.99,27.96,0.0,1.3368274665462532,90.9042677251452,-0.0
2016-06-08,30.99,31.22,30.7,30.41,216149.42,-2.1,37.16,27.96,0.0,1.3368274665462532,90.9042677251452,-0.0
2016-06-13,30.18,30.6,27.63,27.63,232135.97,-10.0,33.95,27.63,0.0,1.3368274665462532,90.9042677251452,-0.0
2016-06-14,27.26,27.82,27.51,26.91,169131.44,-0.43,33.95,26.91,0.0,1.3368274665462532,90.9042677251452,-0.0
2016-06-15,26.99,29.18,28.53,26.81,187969.56,3.71,33.95,26.81,0.0,1.3368274665462532,90.9042677251452,0.0
2016-06-16,28.1,28.62,28.11,27.58,220429.3,-1.47,33.95,26.81,0.0,1.3368274665462532,90.9042677251452,-0.0
